dataset_label,features,kernel,c_value,gamma_value,feature_len,noise_features,metadata_flags,patch_consistency,directional_noise,train_class_counts,val_class_counts,test_class_counts,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_fpr_at_zero,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_fpr_at_zero,test_brier,train_accuracy,train_f1,train_roc_auc,train_pr_auc,train_brier,f1_gap,roc_gap,overfit_flag
all,HSV,linear,1.0,,60,False,False,False,False,"fake:20000,real:20000","fake:6160,real:6196","fake:2623,real:2603",0.519585626416316,0.5177103099304238,0.5314935064935065,0.5245113745594361,0.5242211669866609,0.5260532910325271,0.4922530664945126,0.26653903951238883,0.5597014925373134,0.5542452830188679,0.627144491040793,0.5884457163298158,0.5804601834095942,0.577785027347421,0.5082597003457549,0.2504786989671186,0.570975,0.5624314745404013,0.5978136875,0.5873143132728149,0.24653923397959007,0.03792009998096524,0.07359252051333909,True
all,FFT,linear,1.0,,16,False,False,False,False,"fake:20000,real:20000","fake:6160,real:6196","fake:2623,real:2603",0.6424409193913888,0.6291135487696413,0.688961038961039,0.6576785991011932,0.6860456421403,0.6459613747783357,0.40380890897353133,0.22711711204465473,0.5970149253731343,0.5944464742418707,0.6202821197102555,0.607089552238806,0.6368088435452861,0.6040674957119485,0.42643104110641566,0.23744226988060996,0.6022,0.6067226890756302,0.6289430600000001,0.5883578961874836,0.24161932861513816,-0.05095591002556299,-0.05710258214029984,False
all,WAVELET,linear,1.0,,28,False,False,False,False,"fake:20000,real:20000","fake:6160,real:6196","fake:2623,real:2603",0.6083684040142441,0.59865571321882,0.6506493506493507,0.6235705950991832,0.647634916326411,0.6235226427134848,0.43366688185926405,0.23635252050988112,0.6161500191350937,0.6122226264096035,0.6416317194052612,0.6265822784810127,0.6577049941934795,0.6493328060051275,0.409527468305801,0.23378946464135397,0.59965,0.6207909069381956,0.6345296275000001,0.6175102705404465,0.23951293692281778,-0.0027796881609876145,-0.013105288826410932,False
all,HSV+FFT,linear,1.0,,76,False,False,False,False,"fake:20000,real:20000","fake:6160,real:6196","fake:2623,real:2603",0.6177565555195856,0.6103517124865612,0.6451298701298701,0.6272590955725673,0.6555031576718956,0.6326468464541931,0.4094577146546159,0.23414729140390686,0.6086873325679296,0.6080777860882572,0.6199008768585589,0.6139324145742874,0.6467428341942177,0.6232406482421403,0.40261237034191316,0.2349120456313327,0.61955,0.6239312015024959,0.65928638,0.6284196113871663,0.2328933827561692,-0.003327894070071391,0.003783222328104352,False
all,HSV+WAVELET,linear,1.0,,88,False,False,False,False,"fake:20000,real:20000","fake:6160,real:6196","fake:2623,real:2603",0.6050501780511492,0.6009145380006308,0.6186688311688312,0.6096624540073589,0.6448395435261962,0.629419224291097,0.40848934796642994,0.2379086131938391,0.6261002678913127,0.6237513873473918,0.6427754479603508,0.6331205407435223,0.6760721704581754,0.6684785535254997,0.3907030349596619,0.22837313235719858,0.622075,0.6278709105679049,0.66447554,0.6516393099594469,0.23120450073718385,0.018208456560546038,0.019635996473803763,False
all,FFT+WAVELET,linear,1.0,,44,False,False,False,False,"fake:20000,real:20000","fake:6160,real:6196","fake:2623,real:2603",0.6705244415668501,0.6536707370898927,0.7212662337662338,0.6858068997453114,0.726351835704644,0.7133334991483572,0.37992253066494514,0.2135750627126627,0.661308840413318,0.6525939177101968,0.695386961494472,0.6733111849390919,0.7194616493564642,0.7146288093598567,0.3730311179408375,0.21530466889900496,0.632,0.6370092720457684,0.6742431375,0.6506973079939578,0.2288297237256118,-0.04879762769954299,-0.05210869820464403,False
all,HSV+FFT+WAVELET,linear,1.0,,104,False,False,False,False,"fake:20000,real:20000","fake:6160,real:6196","fake:2623,real:2603",0.6614600194237618,0.6514478320821204,0.6902597402597402,0.6702924253172539,0.7140050294282864,0.701919215623968,0.36717236927049707,0.2167381714171192,0.668388825105243,0.6657973174366617,0.6812809759817003,0.6734501601658187,0.7258733544347273,0.7213600328500023,0.3446023818670764,0.21245159573476646,0.645775,0.6494123469009031,0.6964156925,0.675043169142392,0.22183432919182228,-0.020880078416350756,-0.017589336928286348,False
